T,N2D_check,N2D_HH0,N2D_LH
10.0,5.160000775486856e11,5.160000775486856e11,0.0
50.0,4.945961493674803e11,4.945961493674803e11,0.0
100.0,4.903870470982609e11,4.903870470982609e11,0.0
200.0,3.714713705399355e11,3.693423874836137e11,2.128983056321303e9
300.0,3.725661386602672e11,3.5782868521761646e11,1.4737453442649446e10
