T,HW,n,mu
10.0,10.0,5.160000775486856e11,120.20396021752921
50.0,7.962132048175001,4.945961493674803e11,122.56657087350172
100.0,9.226962828507727,4.903870470982609e11,129.44902719532047
200.0,5.4406698802036395,3.714713705399355e11,156.21261469452372
300.0,5.406600728206993,3.725661386602672e11,186.80502259486494
