energy (meV)	absorption coefficient
270.65393100941367	5.0636516274932216e-05
270.4148374023065	4.873717534968211e-05
270.17574379519937	4.6864612417317376e-05
269.93665018809213	4.4639793820263785e-05
269.697556580985	4.216041392936144e-05
269.45846297387783	3.981320376371485e-05
269.21936936677065	3.717186563208387e-05
268.9802757596635	3.340791213848289e-05
268.74118215255635	2.8909114923836175e-05
268.5020885454492	2.5094883088489484e-05
268.26299493834205	2.2193131846491528e-05
268.0239013312349	1.942694929208547e-05
267.78480772412775	1.6821586719762164e-05
267.54571411702057	1.4470609722036071e-05
267.30662050991344	1.2067646068362959e-05
267.06752690280626	9.9070139974863e-06
266.8284332956991	8.427505654909995e-06
266.5893396885919	7.833954451569685e-06
266.3502473213268	7.973415170580425e-06
266.11115371421954	8.260401633909037e-06
265.8720601071124	8.472454761779354e-06
265.63296650000524	8.41532613263791e-06
265.3938728928981	8.283422206338818e-06
265.15477928579094	8.984041630732386e-06
264.91568567868376	1.0229763548967425e-05
264.67659207157664	1.0906198874111188e-05
264.43749846446946	1.071718138884518e-05
264.19840485736233	1.0058464505398563e-05
263.95931125025515	9.152517150043901e-06
263.720217643148	7.955502014216144e-06
263.48112403604085	6.603908633369649e-06
263.2420304289337	4.853295131037362e-06
263.0029368218265	2.548236216919062e-06
262.7638432147193	5.051502799365824e-07
262.5247496076122	-9.894015290943437e-07
262.285656000505	-2.690404658795102e-06
262.04656239339783	-4.761819724083233e-06
261.8074687862907	-6.906090678146101e-06
261.56837517918353	-9.269869674806571e-06
261.3292815720764	-1.1439601520079555e-05
261.09018796496923	-1.301786451100208e-05
260.85109435786205	-1.458517176708441e-05
260.61200075075493	-1.6371862975965352e-05
260.37290714364775	-1.820793471729851e-05
260.13381353654063	-2.005104218727502e-05
259.89471992943345	-2.1633915771928366e-05
259.65562632232627	-2.2740553077098604e-05
259.4165327152191	-2.314930073490271e-05
259.1774391081119	-2.250762733583076e-05
258.9383455010048	-2.118795779507034e-05
258.6992518938976	-1.9957279533512764e-05
258.4601582867905	-1.859776133905322e-05
258.2210646796833	-1.649254179907091e-05
257.98197107257613	-1.3799425381993447e-05
257.742877465469	-1.1282714099666263e-05
257.5037838583618	-9.281608981213755e-06
257.2646902512547	-7.1295998439386555e-06
257.0255966441475	-4.4444430741726155e-06
256.78650303704035	-1.8299605588316073e-06
256.54740942993317	2.6201449877334173e-07
256.308315822826	2.1872079456610625e-06
256.06922221571887	4.4010881475844015e-06
255.8301298484537	6.013386322369879e-06
255.59103624134653	6.093528339625464e-06
255.35194263423935	5.44004859845995e-06
255.11284902713223	4.789670365778518e-06
254.87375542002502	3.965939355314813e-06
254.6346618129179	3.0635911970233e-06
254.39556820581072	2.58359993150399e-06
254.1564745987036	2.6638252527731407e-06
253.91738099159642	2.9855775325983937e-06
253.67828738448927	3.319484402478149e-06
253.4391937773821	3.4649931388896046e-06
253.2001001702749	3.2501686763145394e-06
252.96100656316776	2.842885530593247e-06
252.7219129560606	2.902054324178884e-06
252.48281934895346	3.7487108597137293e-06
252.2437257418463	4.12310313064077e-06
252.00463213473915	3.6764790502456327e-06
251.76553852763195	4.49314362020944e-06
251.5264449205248	7.078584109604758e-06
251.28735131341764	9.941310290771854e-06
251.0482577063105	1.278702903173995e-05
250.80916409920334	1.5548811088620625e-05
250.57007049209616	1.7327287229381398e-05
250.330976884989	1.897133558860785e-05
250.09188327788183	2.2744062531078468e-05
249.85278967077468	2.799542461449878e-05
249.61369606366753	3.1915402501203986e-05
249.37460245656038	3.400103063814167e-05
249.1355088494532	3.542124676514086e-05
248.89641524234605	3.7001694289844e-05
248.65732163523887	3.902251337458057e-05
248.41822802813172	4.08965436518687e-05
