energy (meV)	absorption coefficient
299.8233473569612	3.182044824522186e-05
299.58425374985404	2.9943460163222198e-05
299.3451601427469	2.7469522722778176e-05
299.10606653563974	2.596188003331765e-05
298.8669729285326	2.5520906463760437e-05
298.62787932142544	2.495824297986978e-05
298.3887857143183	2.4229436746184633e-05
298.14969210721114	2.3473707659305473e-05
297.9105985001039	2.360426427611506e-05
297.6715061328388	2.5252979285068226e-05
297.43241252573165	2.657640253084127e-05
297.1933189186244	2.6286210629867665e-05
296.9542253115173	2.5760844310628686e-05
296.7151317044101	2.6511399968243622e-05
296.47603809730293	2.795280582556361e-05
296.2369444901958	2.872554131681088e-05
295.99785088308863	2.8981555599750813e-05
295.7587572759815	2.9671882660941544e-05
295.51966366887433	2.9308024216008665e-05
295.28057006176715	2.4913058888845498e-05
295.04147645466	1.7558408307626476e-05
294.80238284755285	1.0402930108346148e-05
294.5632892404457	3.441857678499343e-06
294.32419563333855	-1.6080669055530244e-06
294.08510202623137	5.401066703212423e-07
293.8460084191242	7.733132958190651e-06
293.606914812017	6.916766884066461e-06
293.3678212049099	-1.626923815959027e-06
293.1287275978027	-2.231688214153056e-06
292.8896339906956	2.1999967703402523e-06
292.6505403835884	2.317500396828639e-06
292.4114467764812	2.5449121456437115e-06
292.1723531693741	-6.737899342382637e-08
291.9332595622669	-1.5120320969064995e-05
291.6941659551598	-2.3696694531501028e-05
291.4550723480526	-1.7031410973151286e-05
291.21597874094545	-9.958302429040077e-06
290.9768851338383	-6.2382312787432435e-06
290.7377915267311	-4.529097391028076e-06
290.49869791962396	-1.2403906637065724e-05
290.2596043125168	-2.531412281267058e-05
290.0205107054096	-2.35813128027289e-05
289.7814170983025	-3.5014680045351493e-06
289.5423234911953	1.9323334270674127e-05
289.3032298840882	3.0856439380102e-05
289.064136276981	2.8924480669373952e-05
288.8250426698739	1.4954805142161788e-05
288.5859490627667	-1.3095169383102842e-06
288.3468554556595	-8.354359773709762e-06
288.1077618485524	-9.714836430166666e-06
287.8686682414452	-1.0858090742513442e-05
287.6295746343381	-8.028647584798196e-06
287.3904822670729	-2.200599790021945e-06
287.15138865996573	-1.492200108045771e-07
286.91229505285855	-3.413062639170184e-06
286.6732014457514	-5.686859306817419e-06
286.4341078386442	-2.9769959334676833e-07
286.1950142315371	1.1104623421187057e-05
285.9559206244299	2.289905113287686e-05
285.7168270173227	3.150096948889568e-05
285.4777334102156	3.647725435274997e-05
285.2386398031084	3.857917722658447e-05
284.9995461960013	3.6922729608154854e-05
284.7604525888941	3.281240573785859e-05
284.521358981787	2.9915183374554674e-05
284.2822653746798	2.8542327215896288e-05
284.04317176757263	2.6824461524906396e-05
283.8040781604655	2.5076283563202296e-05
283.5649845533583	2.5180000908944045e-05
283.32589094625115	2.7270196463855555e-05
283.08679733914397	2.963257625029317e-05
282.8477037320368	3.10757595563152e-05
282.60861012492967	3.179848886016728e-05
282.3695165178225	3.294283926858219e-05
282.13042291071537	3.545804170029984e-05
281.8913293036082	3.9131085489819476e-05
281.652235696501	4.2812949753291274e-05
281.4131420893939	4.564097511493905e-05
281.1740484822867	4.8039052337875237e-05
280.9349548751796	5.101790547165274e-05
280.6958612680724	5.4346228317968696e-05
280.4567676609652	5.7227276877128564e-05
280.21767405385805	5.97291782732143e-05
279.97858044675087	6.179785590957143e-05
279.73948683964375	6.322042904868947e-05
279.50039323253657	6.418970401059279e-05
279.26129962542944	6.516231505420927e-05
279.02220601832227	6.640496713348275e-05
278.7831124112151	6.693174707215796e-05
278.54401880410796	6.593219892545432e-05
278.3049251970008	6.422015845891868e-05
278.06583158989366	6.213838503339661e-05
277.8267379827865	5.922730820387089e-05
277.5876443756793	5.629644587028143e-05
277.3485507685722	5.44617896782169e-05
277.10945716146495	5.3306836895893177e-05
276.8703647941998	5.1928295733056074e-05
276.6312711870927	4.999910569048669e-05
276.39217757998546	4.774717092213898e-05
276.15308397287833	4.564093352089341e-05
275.91399036577116	4.3692267036193445e-05
275.674896758664	4.1981616353701106e-05
275.43580315155685	4.139228986076847e-05
275.1967095444497	4.215755342019345e-05
274.95761593734255	4.3027816051055926e-05
274.7185223302354	4.3138617594900465e-05
274.4794287231282	4.318617375523674e-05
274.2403351160211	4.411318205189415e-05
274.0012415089139	4.5424859603197634e-05
273.76214790180677	4.630547578985305e-05
273.5230542946996	4.746383182354093e-05
273.28396068759236	4.944072399150928e-05
273.04486708048523	5.1388240597142175e-05
272.80577347337805	5.263026974938501e-05
272.56667986627093	5.3256995867218117e-05
272.32758625916375	5.32941201238634e-05
272.08849265205663	5.2418702581031655e-05
271.84939904494945	5.077298481007945e-05
271.61030543784227	4.941029106603819e-05
271.37121183073515	4.8730746452177646e-05
271.13211822362797	4.779272167671308e-05
270.89302461652085	4.6281654273235836e-05
270.65393100941367	4.472970421073392e-05
270.4148374023065	4.291240102963163e-05
270.17574379519937	4.0340260583178445e-05
269.93665018809213	3.738272910362483e-05
269.697556580985	3.4779329923975354e-05
269.45846297387783	3.2312194461310246e-05
269.21936936677065	2.9077752734569242e-05
268.9802757596635	2.5025863201385562e-05
268.74118215255635	2.1131332981717288e-05
268.5020885454492	1.78431617835272e-05
268.26299493834205	1.4506374000427751e-05
268.0239013312349	1.1051695054282622e-05
267.78480772412775	8.143013728038339e-06
267.54571411702057	5.842197369205573e-06
267.30662050991344	3.9136101963193325e-06
267.06752690280626	2.4182268813242412e-06
266.8284332956991	1.651325075440028e-06
266.5893396885919	1.5854751918914825e-06
266.3502473213268	1.7638901655531466e-06
266.11115371421954	1.98118749566891e-06
265.8720601071124	2.2178879674780316e-06
265.63296650000524	2.7950138226608008e-06
265.3938728928981	4.250455739407336e-06
265.15477928579094	5.874004408395696e-06
264.91568567868376	6.302875858933688e-06
264.67659207157664	5.971977847191806e-06
264.43749846446946	6.0123077446217935e-06
264.19840485736233	6.373363045431514e-06
263.95931125025515	6.532784235018577e-06
263.720217643148	5.749666920386587e-06
263.48112403604085	3.819457339186625e-06
263.2420304289337	1.8669022946987578e-06
263.0029368218265	7.241302133008136e-07
262.7638432147193	-4.9111185060272174e-09
262.5247496076122	-1.2712940427285716e-06
262.285656000505	-3.3315758188456554e-06
262.04656239339783	-5.437361798229735e-06
261.8074687862907	-7.2881562868250185e-06
261.56837517918353	-9.163534357254098e-06
261.3292815720764	-1.0877302771611398e-05
261.09018796496923	-1.2466489426535773e-05
260.85109435786205	-1.436068523071618e-05
260.61200075075493	-1.60562156967134e-05
260.37290714364775	-1.6890156711518388e-05
260.13381353654063	-1.7498120248725322e-05
259.89471992943345	-1.8248419076900517e-05
259.65562632232627	-1.8360762027061427e-05
259.4165327152191	-1.789494640798458e-05
259.1774391081119	-1.752777146785265e-05
258.9383455010048	-1.7082619073855052e-05
258.6992518938976	-1.6229720071106484e-05
258.4601582867905	-1.4563437699715457e-05
258.2210646796833	-1.1486456579193256e-05
257.98197107257613	-7.6165070414933885e-06
257.742877465469	-4.226454326385952e-06
257.5037838583618	-1.451464941005034e-06
257.2646902512547	1.1228705620222865e-06
257.0255966441475	3.2802327300979427e-06
256.78650303704035	4.78895293989428e-06
256.54740942993317	6.1385693007006114e-06
256.308315822826	7.967422145249426e-06
256.06922221571887	1.0406571965670213e-05
255.8301298484537	1.251372309389838e-05
255.59103624134653	1.3490337742914627e-05
255.35194263423935	1.4018836568117707e-05
