energy (meV)	absorption coefficient
299.8233473569612	2.8244624774130115e-05
299.58425374985404	2.6417188007068543e-05
299.3451601427469	2.6016118752100404e-05
299.10606653563974	2.577620381265237e-05
298.8669729285326	2.4568271524195532e-05
298.62787932142544	2.3436798794704434e-05
298.3887857143183	2.3152070093123137e-05
298.14969210721114	2.2852812583778314e-05
297.9105985001039	2.2703888141159676e-05
297.6715061328388	2.3673346288721695e-05
297.43241252573165	2.5136498226066304e-05
297.1933189186244	2.5971134334947154e-05
296.9542253115173	2.6038597704985143e-05
296.7151317044101	2.585941923184563e-05
296.47603809730293	2.6352920713583863e-05
296.2369444901958	2.7738751789166897e-05
295.99785088308863	2.9027075254609058e-05
295.7587572759815	2.9199788315395257e-05
295.51966366887433	2.7157223620543755e-05
295.28057006176715	2.2265986620895972e-05
295.04147645466	1.647612261111166e-05
294.80238284755285	1.1866433303817463e-05
294.5632892404457	6.862538576802439e-06
294.32419563333855	-8.547071587572047e-08
294.08510202623137	-3.983566275946359e-06
293.8460084191242	1.6901999747786247e-06
293.606914812017	9.282674640347898e-06
293.3678212049099	8.119951328780097e-06
293.1287275978027	6.337396462170351e-06
292.8896339906956	1.6227730542707703e-05
292.6505403835884	3.090686950092183e-05
292.4114467764812	2.997400895275528e-05
292.1723531693741	1.5715303841492556e-05
291.9332595622669	-3.92307795188279e-06
291.6941659551598	-2.2207412716636734e-05
291.4550723480526	-2.807031235949287e-05
291.21597874094545	-2.5625885961195977e-05
290.9768851338383	-1.8493221006675082e-05
290.7377915267311	-5.69007554932409e-06
290.49869791962396	-3.312950250159488e-07
290.2596043125168	-1.4013407746834568e-05
290.0205107054096	-2.5941728700514102e-05
289.7814170983025	-1.4707719389631963e-05
289.5423234911953	1.1063197373280753e-05
289.3032298840882	2.9857785965765323e-05
289.064136276981	3.160676690691286e-05
288.8250426698739	1.8705427604076552e-05
288.5859490627667	4.6786005304409395e-06
288.3468554556595	-3.3438146482067792e-06
288.1077618485524	-1.1042701002023648e-05
287.8686682414452	-1.7249750839275252e-05
287.6295746343381	-1.507783798871138e-05
287.3904822670729	-8.267002223989246e-06
287.15138865996573	-5.406262813540162e-06
