energy (meV)	absorption coefficient
299.8233473569612	4.98352248315625e-05
299.58425374985404	4.856535646514391e-05
299.3451601427469	4.660048769113916e-05
299.10606653563974	4.47822293692114e-05
298.8669729285326	4.398134943283376e-05
298.62787932142544	4.416877088168162e-05
298.3887857143183	4.4494079156088874e-05
298.14969210721114	4.4255685339191114e-05
297.9105985001039	4.3959971718574045e-05
297.6715061328388	4.452500027928855e-05
297.43241252573165	4.554526223149311e-05
297.1933189186244	4.5916753462893076e-05
296.9542253115173	4.6188130964816444e-05
296.7151317044101	4.735868047451337e-05
296.47603809730293	4.8263659710635345e-05
296.2369444901958	4.7862936017342956e-05
295.99785088308863	4.748522586163369e-05
295.7587572759815	4.799092085121479e-05
295.51966366887433	4.733673682138061e-05
295.28057006176715	4.2493230890073934e-05
295.04147645466	3.2820375099432256e-05
294.80238284755285	2.1055921360461153e-05
294.5632892404457	1.0398629691665707e-05
294.32419563333855	2.6691778302328956e-06
294.08510202623137	1.4336098778615033e-06
293.8460084191242	6.449565103876301e-06
293.606914812017	5.187495085371623e-06
293.3678212049099	-6.592486043304343e-06
293.1287275978027	-1.807154488087445e-05
292.8896339906956	-2.31978430514103e-05
292.6505403835884	-2.1013555331207018e-05
292.4114467764812	-1.8629555380116422e-05
292.1723531693741	-2.4201906923157136e-05
291.9332595622669	-3.953267117334659e-05
291.6941659551598	-4.43747420296983e-05
291.4550723480526	-3.120225347477164e-05
291.21597874094545	-1.8959236222713956e-05
290.9768851338383	-1.4687857182119307e-05
290.7377915267311	-1.7613610577129816e-05
290.49869791962396	-3.518777439434101e-05
290.2596043125168	-5.9275629048872566e-05
290.0205107054096	-6.0876600797580466e-05
289.7814170983025	-3.432548370128782e-05
289.5423234911953	-1.2107407514019042e-06
289.3032298840882	1.916088001451927e-05
289.064136276981	1.8047790405741016e-05
288.8250426698739	-4.338106415091576e-06
288.5859490627667	-2.8621390341870933e-05
288.3468554556595	-3.973309461139541e-05
288.1077618485524	-4.600768901285852e-05
287.8686682414452	-5.067357721972018e-05
287.6295746343381	-4.4220215114473564e-05
287.3904822670729	-3.2740812600833154e-05
287.15138865996573	-3.06963571536329e-05
286.91229505285855	-3.7484113590610044e-05
286.6732014457514	-4.114895671369586e-05
286.4341078386442	-3.411777390106979e-05
286.1950142315371	-2.0745536641582617e-05
285.9559206244299	-9.053126835547991e-06
285.7168270173227	-1.9243744092032557e-06
285.4777334102156	2.214371553288555e-06
285.2386398031084	4.395102846224214e-06
284.9995461960013	3.897873862576393e-06
284.7604525888941	1.7273793809122252e-06
284.521358981787	-6.8462925485627e-07
284.2822653746798	-3.2863381015231617e-06
284.04317176757263	-5.251677034379949e-06
283.8040781604655	-4.956195400352824e-06
283.5649845533583	-2.20690384380278e-06
283.32589094625115	1.209897227183622e-07
283.08679733914397	-2.4472963102828723e-08
282.8477037320368	-8.245000069858845e-07
282.60861012492967	-5.676740462073798e-07
282.3695165178225	6.615603605649972e-07
282.13042291071537	2.562248170230174e-06
281.8913293036082	5.247597367055053e-06
281.652235696501	9.104816044549186e-06
281.4131420893939	1.3546328118728504e-05
281.1740484822867	1.711966023676494e-05
280.9349548751796	1.9477504828199467e-05
280.6958612680724	2.1478197267861514e-05
280.4567676609652	2.3407905822843997e-05
280.21767405385805	2.4938934879885448e-05
279.97858044675087	2.6545649595166633e-05
279.73948683964375	2.9142548036504652e-05
279.50039323253657	3.2889973544739456e-05
279.26129962542944	3.699397972786569e-05
279.02220601832227	3.9850555490853565e-05
278.7831124112151	4.039385743583762e-05
278.54401880410796	3.9871083211183005e-05
278.3049251970008	4.036864012172052e-05
278.06583158989366	4.131941087898057e-05
277.8267379827865	4.042364889480161e-05
277.5876443756793	3.786104962123331e-05
277.3485507685722	3.538935549845095e-05
277.10945716146495	3.347909891624548e-05
276.8703647941998	3.276022634648325e-05
276.6312711870927	3.349654553211151e-05
276.39217757998546	3.393242090425195e-05
276.15308397287833	3.2958604603149716e-05
275.91399036577116	3.16127934371552e-05
275.674896758664	3.110256257045038e-05
275.43580315155685	3.175987128100658e-05
275.1967095444497	3.3272361736464e-05
274.95761593734255	3.5162934524722154e-05
274.7185223302354	3.7158970408898005e-05
274.4794287231282	3.9457469175694435e-05
274.2403351160211	4.265391102010294e-05
274.0012415089139	4.614971050633912e-05
273.76214790180677	4.822019207255605e-05
273.5230542946996	4.9099499902639566e-05
273.28396068759236	5.086153054830283e-05
273.04486708048523	5.375711061853222e-05
272.80577347337805	5.636060067694037e-05
272.56667986627093	5.852833642753829e-05
272.32758625916375	6.0414828026283344e-05
272.08849265205663	6.120049728132899e-05
271.84939904494945	6.0994113220611284e-05
271.61030543784227	6.093005983931437e-05
271.37121183073515	6.140772491375836e-05
271.13211822362797	6.142675395230433e-05
270.89302461652085	6.005235558419894e-05
270.65393100941367	5.816783977786444e-05
270.4148374023065	5.7032504259405294e-05
270.17574379519937	5.6357924695808276e-05
269.93665018809213	5.516375810304638e-05
269.697556580985	5.30084539265029e-05
269.45846297387783	5.007784652921441e-05
269.21936936677065	4.720459039633396e-05
268.9802757596635	4.491246658006686e-05
268.74118215255635	4.266195433680136e-05
268.5020885454492	3.983399754948672e-05
268.26299493834205	3.638761588818921e-05
268.0239013312349	3.3026888664319424e-05
267.78480772412775	3.0621151078842386e-05
267.54571411702057	2.8761784499366857e-05
267.30662050991344	2.6629132492334634e-05
267.06752690280626	2.483987589673959e-05
266.8284332956991	2.4138611958063862e-05
266.5893396885919	2.3680134705937513e-05
266.3502473213268	2.260323550423975e-05
266.11115371421954	2.1576089359264266e-05
265.8720601071124	2.159490359673492e-05
265.63296650000524	2.2615469152027746e-05
265.3938728928981	2.3682824502948078e-05
265.15477928579094	2.4281194313567234e-05
264.91568567868376	2.4839213769450604e-05
264.67659207157664	2.5328441565420928e-05
264.43749846446946	2.5119202253065347e-05
264.19840485736233	2.4427610242029626e-05
263.95931125025515	2.371462186129209e-05
263.720217643148	2.243680010394117e-05
263.48112403604085	2.0197533341920402e-05
263.2420304289337	1.7956193987693966e-05
263.0029368218265	1.6300595882334696e-05
262.7638432147193	1.4243809282970374e-05
262.5247496076122	1.1345062112377788e-05
262.285656000505	8.760388957353216e-06
262.04656239339783	6.985567759567356e-06
261.8074687862907	4.598630425200665e-06
261.56837517918353	3.8999472221807593e-07
261.3292815720764	-4.345379730828142e-06
261.09018796496923	-7.580099113196858e-06
260.85109435786205	-9.532176757296575e-06
