energy (meV)	absorption coefficient
299.8233473569612	4.6508563503060514e-05
299.58425374985404	4.633515541059319e-05
299.3451601427469	4.579222955080116e-05
299.10606653563974	4.610898041663023e-05
298.8669729285326	4.721090513051273e-05
298.62787932142544	4.8205786948070846e-05
298.3887857143183	4.901320077582975e-05
298.14969210721114	5.0083301888072545e-05
297.9105985001039	5.2034156357703244e-05
297.6715061328388	5.456787665054232e-05
297.43241252573165	5.640107902556462e-05
297.1933189186244	5.777421915695302e-05
296.9542253115173	5.955934416527444e-05
296.7151317044101	6.163228937203233e-05
296.47603809730293	6.372971643946536e-05
296.2369444901958	6.536933448781718e-05
295.99785088308863	6.667274200278792e-05
295.7587572759815	6.79795223588491e-05
295.51966366887433	6.819223221758602e-05
295.28057006176715	6.623271583432557e-05
295.04147645466	6.290623192415264e-05
294.80238284755285	5.939452701153529e-05
294.5632892404457	5.457872008223877e-05
294.32419563333855	4.709192260380259e-05
294.08510202623137	4.05714526259653e-05
293.8460084191242	4.044577688520233e-05
293.606914812017	4.166616138088675e-05
293.3678212049099	3.733481827329886e-05
293.1287275978027	3.725972517746568e-05
292.8896339906956	4.5624809527745235e-05
292.6505403835884	4.535718786739311e-05
292.4114467764812	2.9746017857835324e-05
292.1723531693741	1.8383169946071078e-05
291.9332595622669	1.4659911659387067e-05
291.6941659551598	9.50223116196204e-06
291.4550723480526	8.315477092926457e-06
291.21597874094545	9.950672095689821e-06
290.9768851338383	1.2085882985509559e-05
290.7377915267311	1.877988344331108e-05
290.49869791962396	2.376585646471758e-05
290.2596043125168	1.3738354400945281e-05
290.0205107054096	1.3148024196692812e-07
289.7814170983025	5.895505902587368e-07
289.5423234911953	1.5695216204925234e-05
289.3032298840882	3.495094610459192e-05
289.064136276981	4.717037088804717e-05
288.8250426698739	4.475623896713928e-05
288.5859490627667	3.152709216808005e-05
288.3468554556595	1.646021256847387e-05
288.1077618485524	3.5145343146391695e-06
287.8686682414452	-4.9991914234561385e-06
